sku_id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,item_group_id,product_type,google_product_category
1819,Combo Lasagna The Works,Sabor irresistible en cada capa: disfruta nuestra Lasagna The Works con una Coca-Cola. ¡La mejor combinación para un antojo perfecto!,in stock,new,37900 COP,,https://www.papajohns.com.co/combo-lasagna-the-works-222/p?skuId=1819,https://papajohns.vteximg.com.br/arquivos/ids/159690-800-800/COMBO-THE-WORKS.jpg?v=639239088030370000,,Papa Johns,222,Lasagnas y Pastas > Combo Lasagnas y Pastas,"Food, Beverages & Tobacco > Food Items"
1818,Combo Lasagna Pollo Champiñon,"Una lasaña irresistible con el toque perfecto: Pollo, champiñones y Coca-Cola para completar tu comida con el mejor sabor. ¡Disfrútala hoy mismo!",in stock,new,36900 COP,,https://www.papajohns.com.co/combo-lasagna-pollo-champinon-221/p?skuId=1818,https://papajohns.vteximg.com.br/arquivos/ids/159692-800-800/POLLO Y CHAMPINONES COMBO.jpg?v=639105778047500000,,Papa Johns,221,Lasagnas y Pastas > Combo Lasagnas y Pastas,"Food, Beverages & Tobacco > Food Items"
1797,Combo para Parchar - Familiar Masa-tradicional Borde-tradicional Salsa-Pizza,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,89900 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=1797,https://papajohns.vteximg.com.br/arquivos/ids/159824-800-800/COMBO-PARA-PARCHAR.jpg?v=639207829324300000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
1798,Combo para Parchar - Familiar Masa-tradicional Borde-tradicional Salsa-BBQ,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,89900 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=1798,https://papajohns.vteximg.com.br/arquivos/ids/159825-800-800/COMBO-PARA-PARCHAR.jpg?v=639207829324770000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
1799,Combo para Parchar - Familiar Masa-tradicional Borde-tradicional Salsa-Ranch,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,89900 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=1799,https://papajohns.vteximg.com.br/arquivos/ids/159686-800-800/COMBO-PARA-PARCHAR.jpg?v=639156915291300000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
2054,Combo para Parchar - Familiar Masa-tradicional Borde-queso Salsa-Pizza,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,102800 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=2054,https://papajohns.vteximg.com.br/arquivos/ids/159826-800-800/COMBO-PARA-PARCHAR.jpg?v=639207829325170000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
2055,Combo para Parchar - Familiar Masa-tradicional Borde-queso Salsa-BBQ,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,102800 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=2055,https://papajohns.vteximg.com.br/arquivos/ids/159827-800-800/COMBO-PARA-PARCHAR.jpg?v=639207829325170000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
2056,Combo para Parchar - Familiar Masa-tradicional Borde-queso Salsa-Ranch,"Combo para parchar: pizza Papas Favorite y cerveza Club Colombia . Tu compañero perfecto para momentos llenos de risas, películas o una buena compañía.",in stock,new,102800 COP,,https://www.papajohns.com.co/combo-para-parchar-220/p?skuId=2056,https://papajohns.vteximg.com.br/arquivos/ids/159828-800-800/COMBO-PARA-PARCHAR.jpg?v=639207829325330000,,Papa Johns,220,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
1793,Combo Futbolero - Mediana Masa-tradicional Borde-tradicional,"Estás a un paso de clasificar a la siguiente etapa, haz clic y lleva a casa el Combo Futbolero : promo de 2 pepperonis pizzazz, Rolls de arequipe y Coca Cola. ¡Incluye todo!",in stock,new,89900 COP,,https://www.papajohns.com.co/combo-futbolero-219/p?skuId=1793,https://papajohns.vteximg.com.br/arquivos/ids/159677-800-800/COMBO FUTBOLERO.jpg?v=639105773442800000,,Papa Johns,219,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
1781,Combo VEG - Familiar Masa-tradicional Borde-tradicional Salsa-Pizza,"Imagina una mezcla de sabores frescos y hazla realidad con nuestro Combo VEG : pizza vegetariana con Garlic Knots y Coca Cola. ¡Pide ya la opción veggie, viene muy bien acompañada!",in stock,new,67900 COP,,https://www.papajohns.com.co/combo-veg-217/p?skuId=1781,https://papajohns.vteximg.com.br/arquivos/ids/159814-800-800/COMBO-VEG.jpg?v=639207819517600000,,Papa Johns,217,Pizzas > Promociones,"Food, Beverages & Tobacco > Food Items"
